Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-1117F-0226-SM-5GZZ7	GTEX-1117F-0226-SM-5GZZ7		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-0226-SM-5GZZ7		biosample
GTEX-1117F-0426-SM-5EGHI	GTEX-1117F-0426-SM-5EGHI		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-0426-SM-5EGHI		biosample
GTEX-1117F-0526-SM-5EGHJ	GTEX-1117F-0526-SM-5EGHJ		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-0526-SM-5EGHJ		biosample
GTEX-1117F-0626-SM-5N9CS	GTEX-1117F-0626-SM-5N9CS		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-0626-SM-5N9CS		biosample
GTEX-1117F-0726-SM-5GIEN	GTEX-1117F-0726-SM-5GIEN		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-0726-SM-5GIEN		biosample
GTEX-1117F-1326-SM-5EGHH	GTEX-1117F-1326-SM-5EGHH		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-1326-SM-5EGHH		biosample
GTEX-1117F-2226-SM-5N9CH	GTEX-1117F-2226-SM-5N9CH		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-2226-SM-5N9CH		biosample
GTEX-1117F-2426-SM-5EGGH	GTEX-1117F-2426-SM-5EGGH		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-2426-SM-5EGGH		biosample
GTEX-1117F-2526-SM-5GZY6	GTEX-1117F-2526-SM-5GZY6		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-2526-SM-5GZY6		biosample
GTEX-1117F-2826-SM-5GZXL	GTEX-1117F-2826-SM-5GZXL		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-2826-SM-5GZXL		biosample
GTEX-1117F-2926-SM-5GZYI	GTEX-1117F-2926-SM-5GZYI		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-2926-SM-5GZYI		biosample
GTEX-1117F-3026-SM-5GZYU	GTEX-1117F-3026-SM-5GZYU		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-3026-SM-5GZYU		biosample
GTEX-1117F-3226-SM-5N9CT	GTEX-1117F-3226-SM-5N9CT		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1117F-3226-SM-5N9CT		biosample
GTEX-111CU-0126-SM-5GZWZ	GTEX-111CU-0126-SM-5GZWZ		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-0126-SM-5GZWZ		biosample
GTEX-111CU-0226-SM-5GZXC	GTEX-111CU-0226-SM-5GZXC		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-0226-SM-5GZXC		biosample
GTEX-111CU-0326-SM-5GZXO	GTEX-111CU-0326-SM-5GZXO		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-0326-SM-5GZXO		biosample
GTEX-111CU-0426-SM-5GZY1	GTEX-111CU-0426-SM-5GZY1		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-0426-SM-5GZY1		biosample
GTEX-111CU-0526-SM-5EGHK	GTEX-111CU-0526-SM-5EGHK		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-0526-SM-5EGHK		biosample
GTEX-111CU-0626-SM-5EGHL	GTEX-111CU-0626-SM-5EGHL		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-0626-SM-5EGHL		biosample
GTEX-111CU-0726-SM-5GZYD	GTEX-111CU-0726-SM-5GZYD		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-0726-SM-5GZYD		biosample
GTEX-111CU-0826-SM-5EGIJ	GTEX-111CU-0826-SM-5EGIJ		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-0826-SM-5EGIJ		biosample
GTEX-111CU-0926-SM-5EGIK	GTEX-111CU-0926-SM-5EGIK		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-0926-SM-5EGIK		biosample
GTEX-111CU-1026-SM-5EGIL	GTEX-111CU-1026-SM-5EGIL		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-1026-SM-5EGIL		biosample
GTEX-111CU-1126-SM-5EGIM	GTEX-111CU-1126-SM-5EGIM		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-1126-SM-5EGIM		biosample
GTEX-111CU-1226-SM-5EGIN	GTEX-111CU-1226-SM-5EGIN		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-1226-SM-5EGIN		biosample
GTEX-111CU-1326-SM-5NQ8L	GTEX-111CU-1326-SM-5NQ8L		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-1326-SM-5NQ8L		biosample
GTEX-111CU-1426-SM-5GZYP	GTEX-111CU-1426-SM-5GZYP		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-1426-SM-5GZYP		biosample
GTEX-111CU-1526-SM-5N9FS	GTEX-111CU-1526-SM-5N9FS		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-1526-SM-5N9FS		biosample
GTEX-111CU-1726-SM-5EGHM	GTEX-111CU-1726-SM-5EGHM		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-1726-SM-5EGHM		biosample
GTEX-111CU-1826-SM-5GZYN	GTEX-111CU-1826-SM-5GZYN		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-1826-SM-5GZYN		biosample
GTEX-111CU-2026-SM-5GZZC	GTEX-111CU-2026-SM-5GZZC		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-2026-SM-5GZZC		biosample
GTEX-111CU-2226-SM-5N9G5	GTEX-111CU-2226-SM-5N9G5		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-2226-SM-5N9G5		biosample
GTEX-111FC-0126-SM-5N9DL	GTEX-111FC-0126-SM-5N9DL		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-0126-SM-5N9DL		biosample
