Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-1117F	GTEX-1117F		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1117F		individual_organism
GTEX-111CU	GTEX-111CU		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-111CU		individual_organism
GTEX-111FC	GTEX-111FC		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-111FC		individual_organism
GTEX-111VG	GTEX-111VG		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-111VG		individual_organism
GTEX-111YS	GTEX-111YS		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-111YS		individual_organism
GTEX-1122O	GTEX-1122O		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1122O		individual_organism
GTEX-1128S	GTEX-1128S		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1128S		individual_organism
GTEX-113IC	GTEX-113IC		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-113IC		individual_organism
GTEX-113JC	GTEX-113JC		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-113JC		individual_organism
GTEX-117XS	GTEX-117XS		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-117XS		individual_organism
GTEX-117YW	GTEX-117YW		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-117YW		individual_organism
GTEX-117YX	GTEX-117YX		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-117YX		individual_organism
GTEX-1192W	GTEX-1192W		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1192W		individual_organism
GTEX-1192X	GTEX-1192X		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1192X		individual_organism
GTEX-11DXW	GTEX-11DXW		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11DXW		individual_organism
GTEX-11DXX	GTEX-11DXX		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11DXX		individual_organism
GTEX-11DXY	GTEX-11DXY		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11DXY		individual_organism
GTEX-11DXZ	GTEX-11DXZ		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11DXZ		individual_organism
GTEX-11DYG	GTEX-11DYG		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11DYG		individual_organism
GTEX-11DZ1	GTEX-11DZ1		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11DZ1		individual_organism
GTEX-11EI6	GTEX-11EI6		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11EI6		individual_organism
