Native form	Uberon id	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
Adipose_Subcutaneous	0002190	Adipose_Subcutaneous	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0002190	gross_anatomical_structure
Adipose_Visceral_Omentum	0010414	Adipose_Visceral_Omentum	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0010414	gross_anatomical_structure
Adrenal_Gland	0013756	Adrenal_Gland	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0013756	gross_anatomical_structure
Artery_Aorta	0001496	Artery_Aorta	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001496	gross_anatomical_structure
Artery_Coronary	0001621	Artery_Coronary	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001621	gross_anatomical_structure
Artery_Tibial	0007610	Artery_Tibial	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0007610	gross_anatomical_structure
Bladder	0001255	Bladder	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001255	gross_anatomical_structure
Brain_Amygdala	0001876	Brain_Amygdala	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001876	gross_anatomical_structure
Brain_Anterior_cingulate_cortex_BA24	0009835	Brain_Anterior_cingulate_cortex_BA24	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0009835	gross_anatomical_structure
Brain_Caudate_basal_ganglia	0001873	Brain_Caudate_basal_ganglia	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001873	gross_anatomical_structure
Brain_Cerebellar_Hemisphere	0002037	Brain_Cerebellar_Hemisphere	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0002037	gross_anatomical_structure
Brain_Cerebellum	0002037	Brain_Cerebellum	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0002037	gross_anatomical_structure
Brain_Cortex	0001870	Brain_Cortex	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001870	gross_anatomical_structure
Brain_Frontal_Cortex_BA9	0009834	Brain_Frontal_Cortex_BA9	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0009834	gross_anatomical_structure
Brain_Hippocampus	0001954	Brain_Hippocampus	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001954	gross_anatomical_structure
Brain_Hypothalamus	0001898	Brain_Hypothalamus	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001898	gross_anatomical_structure
Brain_Nucleus_accumbens_basal_ganglia	0001882	Brain_Nucleus_accumbens_basal_ganglia	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001882	gross_anatomical_structure
Brain_Putamen_basal_ganglia	0001874	Brain_Putamen_basal_ganglia	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001874	gross_anatomical_structure
Brain_Spinal_cord_cervical_c-1	0006469	Brain_Spinal_cord_cervical_c-1	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0006469	gross_anatomical_structure
Brain_Substantia_nigra	0002038	Brain_Substantia_nigra	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0002038	gross_anatomical_structure
Breast_Mammary_Tissue	0008367	Breast_Mammary_Tissue	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0008367	gross_anatomical_structure
Cells_EBV-transformed_lymphocytes	EFO_0000572	Cells_EBV-transformed_lymphocytes	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_EFO_0000572	gross_anatomical_structure
Cells_Transformed_fibroblasts	EFO_0002009	Cells_Transformed_fibroblasts	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_EFO_0002009	gross_anatomical_structure
Cervix_Ectocervix	0012249	Cervix_Ectocervix	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0012249	gross_anatomical_structure
Cervix_Endocervix	0000458	Cervix_Endocervix	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0000458	gross_anatomical_structure
Colon_Sigmoid	0001159	Colon_Sigmoid	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001159	gross_anatomical_structure
Colon_Transverse	0001157	Colon_Transverse	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001157	gross_anatomical_structure
Esophagus_Gastroesophageal_Junction	0004550	Esophagus_Gastroesophageal_Junction	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0004550	gross_anatomical_structure
Esophagus_Mucosa	0006920	Esophagus_Mucosa	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0006920	gross_anatomical_structure
Esophagus_Muscularis	0004648	Esophagus_Muscularis	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0004648	gross_anatomical_structure
Fallopian_Tube	0003889	Fallopian_Tube	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0003889	gross_anatomical_structure
Heart_Atrial_Appendage	0006631	Heart_Atrial_Appendage	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0006631	gross_anatomical_structure
Heart_Left_Ventricle	0006566	Heart_Left_Ventricle	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0006566	gross_anatomical_structure
Kidney_Cortex	0001225	Kidney_Cortex	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001225	gross_anatomical_structure
Liver	0001114	Liver	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001114	gross_anatomical_structure
Lung	0008952	Lung	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0008952	gross_anatomical_structure
Minor_Salivary_Gland	0006330	Minor_Salivary_Gland	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0006330	gross_anatomical_structure
Muscle_Skeletal	0011907	Muscle_Skeletal	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0011907	gross_anatomical_structure
Nerve_Tibial	0001323	Nerve_Tibial	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001323	gross_anatomical_structure
Ovary	0000992	Ovary	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0000992	gross_anatomical_structure
Pancreas	0001150	Pancreas	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001150	gross_anatomical_structure
Pituitary	0000007	Pituitary	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0000007	gross_anatomical_structure
Prostate	0002367	Prostate	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0002367	gross_anatomical_structure
Skin_Not_Sun_Exposed_Suprapubic	0036149	Skin_Not_Sun_Exposed_Suprapubic	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0036149	gross_anatomical_structure
Skin_Sun_Exposed_Lower_leg	0004264	Skin_Sun_Exposed_Lower_leg	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0004264	gross_anatomical_structure
Small_Intestine_Terminal_Ileum	0001211	Small_Intestine_Terminal_Ileum	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0001211	gross_anatomical_structure
Spleen	0002106	Spleen	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0002106	gross_anatomical_structure
Stomach	0000945	Stomach	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0000945	gross_anatomical_structure
Testis	0000473	Testis	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0000473	gross_anatomical_structure
Thyroid	0002046	Thyroid	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0002046	gross_anatomical_structure
Uterus	0000995	Uterus	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0000995	gross_anatomical_structure
Vagina	0000996	Vagina	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0000996	gross_anatomical_structure
Whole_Blood	0013756	Whole_Blood	not resolvable	not resolvable	http://purl.obolibrary.org/obo/UBERON_0013756	gross_anatomical_structure
