sample_id	Sodium_GUID_cram	Sodium_GUID_crai
GTEX-1117F-0226-SM-5GZZ7	https://doi.org/10.25491/t6fn-7s08	https://doi.org/10.25491/6s9c-pc55
GTEX-1117F-0426-SM-5EGHI	https://doi.org/10.25491/8p7q-ss38	https://doi.org/10.25491/a1r6-xs30
GTEX-1117F-0526-SM-5EGHJ	https://doi.org/10.25491/f024-ej93	https://doi.org/10.25491/p063-2n07
GTEX-1117F-0626-SM-5N9CS	https://doi.org/10.25491/tsyv-7h13	https://doi.org/10.25491/2agz-nq89
GTEX-1117F-0726-SM-5GIEN	https://doi.org/10.25491/865w-gw69	https://doi.org/10.25491/kst6-a398
GTEX-1117F-1326-SM-5EGHH	https://doi.org/10.25491/wxz0-rn21	https://doi.org/10.25491/m65x-3147
GTEX-1117F-2226-SM-5N9CH	https://doi.org/10.25491/z1e9-qx82	https://doi.org/10.25491/dke8-xh48
GTEX-1117F-2426-SM-5EGGH	https://doi.org/10.25491/5j73-zp49	https://doi.org/10.25491/rer8-zs43
GTEX-1117F-2526-SM-5GZY6	https://doi.org/10.25491/tpy0-bv50	https://doi.org/10.25491/g1ps-z546
GTEX-1117F-2826-SM-5GZXL	https://doi.org/10.25491/04vc-wf08	https://doi.org/10.25491/jamd-n185
GTEX-1117F-2926-SM-5GZYI	https://doi.org/10.25491/wj7w-3y62	https://doi.org/10.25491/3bqk-zg05
GTEX-1117F-3026-SM-5GZYU	https://doi.org/10.25491/bw5c-9b96	https://doi.org/10.25491/7ex0-5t23
GTEX-1117F-3226-SM-5N9CT	https://doi.org/10.25491/rge4-1r88	https://doi.org/10.25491/3f5v-zr66
GTEX-111CU-0126-SM-5GZWZ	https://doi.org/10.25491/nr0f-ax98	https://doi.org/10.25491/r20v-4880
GTEX-111CU-0226-SM-5GZXC	https://doi.org/10.25491/xrw2-dj17	https://doi.org/10.25491/rp4n-5g12
GTEX-111CU-0326-SM-5GZXO	https://doi.org/10.25491/4d1h-yq59	https://doi.org/10.25491/76js-4353
GTEX-111CU-0426-SM-5GZY1	https://doi.org/10.25491/r645-qy55	https://doi.org/10.25491/ha76-7v31
GTEX-111CU-0526-SM-5EGHK	https://doi.org/10.25491/v1ng-wt92	https://doi.org/10.25491/5f0z-ma64
GTEX-111CU-0626-SM-5EGHL	https://doi.org/10.25491/ncqy-pb65	https://doi.org/10.25491/xx0w-fs04
GTEX-111CU-0726-SM-5GZYD	https://doi.org/10.25491/g4mk-wk35	https://doi.org/10.25491/vqwb-rk28
GTEX-111CU-0826-SM-5EGIJ	https://doi.org/10.25491/wge9-jt89	https://doi.org/10.25491/0phw-px93
GTEX-111CU-0926-SM-5EGIK	https://doi.org/10.25491/1z8c-mj37	https://doi.org/10.25491/0fv1-df25
GTEX-111CU-1026-SM-5EGIL	https://doi.org/10.25491/khx3-qx49	https://doi.org/10.25491/sqr3-0k05
GTEX-111CU-1126-SM-5EGIM	https://doi.org/10.25491/pb7a-pr98	https://doi.org/10.25491/zw77-4k38
GTEX-111CU-1226-SM-5EGIN	https://doi.org/10.25491/esd3-mn02	https://doi.org/10.25491/nn5y-9t37
