sample_id	Sodium_GUID_cram	Sodium_GUID_crai
GTEX-1117F-0003-SM-6WBT7	https://doi.org/10.25491/d6cm-ee67	https://doi.org/10.25491/mb34-ww60
GTEX-111CU-0003-SM-6WBUD	https://doi.org/10.25491/zntf-jb29	https://doi.org/10.25491/bfja-7417
GTEX-111FC-0001-SM-6WBTJ	https://doi.org/10.25491/ny0z-w510	https://doi.org/10.25491/zs4r-8g02
GTEX-111VG-0004-SM-6WBTS	https://doi.org/10.25491/5tpb-ez54	https://doi.org/10.25491/zgny-m267
GTEX-111YS-0004-SM-6WBTN	https://doi.org/10.25491/zfy2-br85	https://doi.org/10.25491/56ee-pp16
GTEX-1122O-0004-SM-6WBTE	https://doi.org/10.25491/8t4r-az94	https://doi.org/10.25491/fyx6-pw83
GTEX-1128S-0001-SM-6WBUH	https://doi.org/10.25491/ft93-q325	https://doi.org/10.25491/h3xf-4256
GTEX-113JC-0001-SM-6WBTD	https://doi.org/10.25491/h454-dk94	https://doi.org/10.25491/q9ph-nh30
GTEX-117XS-0001-SM-6WBTA	https://doi.org/10.25491/w8pf-2r71	https://doi.org/10.25491/bybs-y951
GTEX-117YW-0003-SM-6WBSY	https://doi.org/10.25491/25yt-8734	https://doi.org/10.25491/zc1g-8351
GTEX-117YX-0001-SM-7DRQ6	https://doi.org/10.25491/ghjj-kj43	https://doi.org/10.25491/3w0p-tg03
GTEX-1192W-0001-SM-6WBTI	https://doi.org/10.25491/ce1h-th06	https://doi.org/10.25491/f0mg-mf09
GTEX-1192X-0004-SM-6WBTF	https://doi.org/10.25491/71h4-1x15	https://doi.org/10.25491/sw41-m982
GTEX-11DXX-0004-SM-6WBT9	https://doi.org/10.25491/b1tf-vq48	https://doi.org/10.25491/j135-2415
GTEX-11DXY-0004-SM-6WBTO	https://doi.org/10.25491/vefp-bs03	https://doi.org/10.25491/1reb-j410
GTEX-11DXZ-0003-SM-6WBTM	https://doi.org/10.25491/wetk-4k33	https://doi.org/10.25491/qfka-nb39
GTEX-11DYG-0004-SM-6WBTB	https://doi.org/10.25491/18n3-zx67	https://doi.org/10.25491/eses-0415
GTEX-11DZ1-0002-SM-6WBTG	https://doi.org/10.25491/97bj-sy64	https://doi.org/10.25491/saae-zm57
GTEX-11EI6-0004-SM-6WBTC	https://doi.org/10.25491/854m-x165	https://doi.org/10.25491/3f4r-dc31
GTEX-11EM3-0004-SM-6WBUK	https://doi.org/10.25491/vh0p-t102	https://doi.org/10.25491/wm71-mw58
GTEX-11EMC-0004-SM-6WBUA	https://doi.org/10.25491/ts37-4m37	https://doi.org/10.25491/g4ve-bk42
GTEX-11EQ8-0001-SM-6WBTP	https://doi.org/10.25491/f0r1-s377	https://doi.org/10.25491/5rn0-fd30
GTEX-11EQ9-0003-SM-6WBTK	https://doi.org/10.25491/b0gn-8156	https://doi.org/10.25491/tapr-6q27
GTEX-11GS4-0004-SM-6WBTL	https://doi.org/10.25491/tkd7-8f25	https://doi.org/10.25491/bntq-y113
GTEX-11GSO-0003-SM-6WBTR	https://doi.org/10.25491/y4jj-j511	https://doi.org/10.25491/e69p-bq42
GTEX-11GSP-0004-SM-6WBTQ	https://doi.org/10.25491/9smh-v965	https://doi.org/10.25491/hb6z-bk11
GTEX-11I78-0002-SM-6WBU2	https://doi.org/10.25491/1ajz-kf19	https://doi.org/10.25491/ay14-8e57
GTEX-11LCK-0002-SM-6WBSW	https://doi.org/10.25491/sfk5-6103	https://doi.org/10.25491/qne6-k825
GTEX-11NUK-0004-SM-6WBTU	https://doi.org/10.25491/11jk-dv46	https://doi.org/10.25491/rdtr-jd25
GTEX-11NV4-0001-SM-6WBTT	https://doi.org/10.25491/yk58-v489	https://doi.org/10.25491/0hk3-pj09
GTEX-11P7K-0002-SM-6WBUI	https://doi.org/10.25491/pgg6-gj87	https://doi.org/10.25491/spnr-1w22
GTEX-11P81-0002-SM-6WBTV	https://doi.org/10.25491/34xx-rs62	https://doi.org/10.25491/6fsr-cc18
GTEX-11P82-0003-SM-6WBSX	https://doi.org/10.25491/y7wv-8q42	https://doi.org/10.25491/jc28-8b38
GTEX-11PRG-0004-SM-6WBUN	https://doi.org/10.25491/y956-t895	https://doi.org/10.25491/8as9-4m93
GTEX-11TT1-0001-SM-6WBTZ	https://doi.org/10.25491/x1bt-jd10	https://doi.org/10.25491/2g7r-fv29
GTEX-11TTK-0002-SM-6WBTX	https://doi.org/10.25491/9sb5-b952	https://doi.org/10.25491/btcg-va77
GTEX-11TUW-0004-SM-6WBU1	https://doi.org/10.25491/acw0-ck51	https://doi.org/10.25491/6xk0-rp14
GTEX-11UD1-0001-SM-6WBTY	https://doi.org/10.25491/mkdr-a289	https://doi.org/10.25491/f780-js49
GTEX-11UD2-0001-SM-6WBTW	https://doi.org/10.25491/ahqq-9190	https://doi.org/10.25491/nbvp-ph25
GTEX-11VI4-0003-SM-6WBUJ	https://doi.org/10.25491/neqg-x785	https://doi.org/10.25491/22h1-xz87
GTEX-11WQC-0003-SM-6WBU8	https://doi.org/10.25491/5sd2-8258	https://doi.org/10.25491/yr9g-tz98
GTEX-11WQK-0003-SM-6WBUB	https://doi.org/10.25491/vetv-pr92	https://doi.org/10.25491/j3z5-fn95
GTEX-11XUK-0003-SM-6WBU7	https://doi.org/10.25491/dnfm-bm35	https://doi.org/10.25491/jw26-mm59
GTEX-11ZTS-0001-SM-6WBU5	https://doi.org/10.25491/dd5r-xg88	https://doi.org/10.25491/rybc-0s23
GTEX-11ZTT-0003-SM-6WBU4	https://doi.org/10.25491/8n4f-8763	https://doi.org/10.25491/anm0-r205
GTEX-11ZUS-0003-SM-6WBU3	https://doi.org/10.25491/jt6x-8e83	https://doi.org/10.25491/fbgc-hp25
GTEX-11ZVC-0004-SM-6WBU9	https://doi.org/10.25491/j32m-bv54	https://doi.org/10.25491/szh7-0y63
GTEX-1211K-0003-SM-7DRPU	https://doi.org/10.25491/d8qe-0364	https://doi.org/10.25491/b77t-5768
GTEX-12126-0001-SM-6WBU6	https://doi.org/10.25491/6agt-jg68	https://doi.org/10.25491/nhye-0m83
GTEX-1212Z-0004-SM-7DRQE	https://doi.org/10.25491/4bpw-z972	https://doi.org/10.25491/fjw5-dr22
GTEX-12584-0004-SM-7DRPH	https://doi.org/10.25491/7hqc-eh65	https://doi.org/10.25491/895c-nr05
GTEX-12BJ1-0001-SM-7DRPO	https://doi.org/10.25491/q9z0-sw40	https://doi.org/10.25491/t1cm-wf52
GTEX-12C56-0003-SM-7DRPT	https://doi.org/10.25491/sa61-hw66	https://doi.org/10.25491/kdys-xh48
GTEX-12KS4-0003-SM-7DRPS	https://doi.org/10.25491/1gfy-x354	https://doi.org/10.25491/96kh-dt94
GTEX-12WS9-0001-SM-7DRQ3	https://doi.org/10.25491/5czn-4f83	https://doi.org/10.25491/8yn6-t764
GTEX-12WSA-0001-SM-7DRQ8	https://doi.org/10.25491/8ksh-q751	https://doi.org/10.25491/r7vy-2q42
GTEX-12WSB-0001-SM-7DRQC	https://doi.org/10.25491/pwbj-p724	https://doi.org/10.25491/anmf-t881
GTEX-12WSD-0002-SM-6WSCG	https://doi.org/10.25491/9tkw-rp12	https://doi.org/10.25491/gwny-8d07
GTEX-12WSE-0002-SM-6WSCA	https://doi.org/10.25491/4z3z-8532	https://doi.org/10.25491/jk68-5q89
GTEX-12WSF-0002-SM-6WSCI	https://doi.org/10.25491/amyt-7026	https://doi.org/10.25491/c612-z502
GTEX-12WSG-0001-SM-7DRPL	https://doi.org/10.25491/q8bc-2p36	https://doi.org/10.25491/m1v8-sf51
