file_name	object_location	file_size	md5_hash	public_url
GTEx_Analysis_v7_Annotations_SampleAttributesDD.xlsx	gs://gtex_analysis_v7/annotations/GTEx_Analysis_v7_Annotations_SampleAttributesDD.xlsx	5.35 MiB	33e698fdd9049791dd5bb02e566ded7d	https://storage.googleapis.com/gtex_analysis_v7/annotations/GTEx_Analysis_v7_Annotations_SampleAttributesDD.xlsx
GTEx_Analysis_v7_Annotations_SubjectPhenotypesDD.xlsx	gs://gtex_analysis_v7/annotations/GTEx_Analysis_v7_Annotations_SubjectPhenotypesDD.xlsx	10.15 KiB	6e200e3d582f857bd8a9f916b9fe0952	https://storage.googleapis.com/gtex_analysis_v7/annotations/GTEx_Analysis_v7_Annotations_SubjectPhenotypesDD.xlsx
GTEx_v7_Annotations_SampleAttributesDS.txt	gs://gtex_analysis_v7/annotations/GTEx_v7_Annotations_SampleAttributesDS.txt	7.9 MiB	80f2b89d45843abb0a0dc39d5054530c	https://storage.googleapis.com/gtex_analysis_v7/annotations/GTEx_v7_Annotations_SampleAttributesDS.txt
GTEx_v7_Annotations_SubjectPhenotypesDS.txt	gs://gtex_analysis_v7/annotations/GTEx_v7_Annotations_SubjectPhenotypesDS.txt	15.12 KiB	73d9180f604c17e6c211ca1694dc9ff7	https://storage.googleapis.com/gtex_analysis_v7/annotations/GTEx_v7_Annotations_SubjectPhenotypesDS.txt
GTEx_Analysis_v7.metasoft.txt.gz	gs://gtex_analysis_v7/multi_tissue_eqtl_data/GTEx_Analysis_v7.metasoft.txt.gz	1.82 GiB	0d6b59dfb6266b1789e789cb70919076	https://storage.googleapis.com/gtex_analysis_v7/multi_tissue_eqtl_data/GTEx_Analysis_v7.metasoft.txt.gz
GTEx_Analysis_2016-01-15_v7_WholeGenomeSeq_635Ind_PASS_AB02_GQ20_HETX_MISS15_PLINKQC.lookup_table.txt.gz	gs://gtex_analysis_v7/reference/GTEx_Analysis_2016-01-15_v7_WholeGenomeSeq_635Ind_PASS_AB02_GQ20_HETX_MISS15_PLINKQC.lookup_table.txt.gz	440.53 MiB	081e94337603619c9faa255432f5c592	https://storage.googleapis.com/gtex_analysis_v7/reference/GTEx_Analysis_2016-01-15_v7_WholeGenomeSeq_635Ind_PASS_AB02_GQ20_HETX_MISS15_PLINKQC.lookup_table.txt.gz
Homo_sapiens_assembly19.fasta.gz	gs://gtex_analysis_v7/reference/Homo_sapiens_assembly19.fasta.gz	818.1 MiB	d8c8e4e848f9a16dd25f741720e668ad	https://storage.googleapis.com/gtex_analysis_v7/reference/Homo_sapiens_assembly19.fasta.gz
gencode.v19.genes.v7.patched_contigs.exons.txt	gs://gtex_analysis_v7/reference/gencode.v19.genes.v7.patched_contigs.exons.txt	13.43 MiB	5236fe219010f29c377d146d200e676e	https://storage.googleapis.com/gtex_analysis_v7/reference/gencode.v19.genes.v7.patched_contigs.exons.txt
gencode.v19.genes.v7.patched_contigs.gtf	gs://gtex_analysis_v7/reference/gencode.v19.genes.v7.patched_contigs.gtf	141.29 MiB	9b7348111153d1222e1ea938be4d7e56	https://storage.googleapis.com/gtex_analysis_v7/reference/gencode.v19.genes.v7.patched_contigs.gtf
gencode.v19.transcripts.patched_contigs.gtf	gs://gtex_analysis_v7/reference/gencode.v19.transcripts.patched_contigs.gtf	1.03 GiB	c208721dcb104223b2265adf58b7e8ef	https://storage.googleapis.com/gtex_analysis_v7/reference/gencode.v19.transcripts.patched_contigs.gtf
GTEx_Analysis_2016-01-15_v7_RNASeQCv1.1.8_exon_reads.txt.gz	gs://gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_RNASeQCv1.1.8_exon_reads.txt.gz	5.08 GiB	a6c71a963f3109663362e13938b076a0	https://storage.googleapis.com/gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_RNASeQCv1.1.8_exon_reads.txt.gz
GTEx_Analysis_2016-01-15_v7_RNASeQCv1.1.8_gene_median_tpm.gct.gz	gs://gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_RNASeQCv1.1.8_gene_median_tpm.gct.gz	4.72 MiB	a97b5bd8136325427bac8ada0d018d6e	https://storage.googleapis.com/gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_RNASeQCv1.1.8_gene_median_tpm.gct.gz
GTEx_Analysis_2016-01-15_v7_RNASeQCv1.1.8_gene_reads.gct.gz	gs://gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_RNASeQCv1.1.8_gene_reads.gct.gz	495.62 MiB	8e7fce1e7e93749a8c48d301e9d848f5	https://storage.googleapis.com/gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_RNASeQCv1.1.8_gene_reads.gct.gz
GTEx_Analysis_2016-01-15_v7_RNASeQCv1.1.8_gene_tpm.gct.gz	gs://gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_RNASeQCv1.1.8_gene_tpm.gct.gz	826.87 MiB	e027506deca6a62f50e316561c6cb8cb	https://storage.googleapis.com/gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_RNASeQCv1.1.8_gene_tpm.gct.gz
GTEx_Analysis_2016-01-15_v7_RSEMv1.2.22_transcript_expected_count.txt.gz	gs://gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_RSEMv1.2.22_transcript_expected_count.txt.gz	2.28 GiB	774cbf67874676d13150318f6569de5f	https://storage.googleapis.com/gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_RSEMv1.2.22_transcript_expected_count.txt.gz
GTEx_Analysis_2016-01-15_v7_RSEMv1.2.22_transcript_tpm.txt.gz	gs://gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_RSEMv1.2.22_transcript_tpm.txt.gz	1.84 GiB	af52f0cd6e8652fff6ca105e19efd801	https://storage.googleapis.com/gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_RSEMv1.2.22_transcript_tpm.txt.gz
